AI Visibility for degreed.com from Semrush account,,,,https://www.semrush.com/ai-seo/overview/?q=degreed.com & SoA from https://clarity.microsoft.com/projects/view/i18q4a2jvn/aivisibility,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,2025,,,,2026,,,,,,,,,,,
Month,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December
Total Score,24,22,22,22,21,21,21,21,19,19,,,,,,
     Chat GPT,26,28,27,27,27,,,,,,,,,,,
     AI Overview,22,18,19,18,20,,,,,,,,,,,
     AI Mode,26,25,25,25,21,,,,,,,,,,,
     Gemini,,,25,25,24,,,,,,,,,,,
Cited Pages,,,284,263,330,340,279,289,310,272,,,,,,
Citations,,,184,186,498,511,329,360,514,362,,,,,,
Mentions,278,341,451,518,730,764,760,794,847,650,,,,,,
     Chat GPT,,,,118,130,142,142,173,199,,,,,,,
     AI Overview,,,,76,99,96,96,94,99,,,,,,,
     AI Mode,,,,131,209,232,232,230,220,,,,,,,
     Gemini,,,,196,292,290,290,297,329,,,,,,,
Share of Authority,,,,,38.45%,37.60%,34.03%,33.99%,28.04%,35.33%,,,,,,
     Degreed mentions,,,,,"9,705","8,656","18,227","21,516","16,371","29,003",,,,,,
     Competitor mentions,,,,,"15,534","14,363","35,327","41,781","42,011","53,088",,,,,,